image_path,class_name,plant_type,disease_name,label
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\00130039-8425-42e9-9dd9-15aead7271ff___Rut._Bact.S 3421.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\00359c66-5d75-40ce-a5b7-6ef05959d2d2___Rut._Bact.S 1381.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\004118fe-b351-4cad-83ca-280c77f82eaa___Rutg._Bact.S 1818.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\005b14ab-17f0-40c3-af15-87abf7d4ac23___Rutg._Bact.S 2083.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\0090cfcf-caf7-424d-b19c-533e09c6d24c___Rutg._Bact.S 2388.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\00ddc106-692e-4c67-b2e8-569c924caf49___Rutg._Bact.S 1228.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\00e6ad4a-5a62-48d7-ac68-9c0b8ec87f5f___Rut._Bact.S 1472.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\00ec2d81-1ac8-464f-af9f-40e8c28d67eb___Rutg._Bact.S 2002.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\00f87dfc-bf6c-481e-9022-bfb98224d4b7___Rutg._Bact.S 1965.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\010eb44a-62fc-48fe-8386-5aee3589d103___Rut._Bact.S 1097.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\010f7f98-f2e8-43c5-b283-9ad62dd7752e___Rutg._Bact.S 2048.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\01876b18-5738-4b4a-bca1-c89dcbe6ca61___Rut._Bact.S 1207.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\01ba711d-8d26-4be8-994d-09f5b02fcbe9___Rut._Bact.S 3390.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\01d603af-a737-43a5-918a-ada2e10823e6___Rut._Bact.S 1385.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
c:\not_default\Projects\plant-leaf-disease-classification\data\raw\Peach___Bacterial_spot\022213cf-0757-451f-89f8-306c4f7defb0___Rut._Bact.S 1510.JPG,Peach___Bacterial_spot,Peach,Bacterial spot,diseased
